"Step","playful-oath-296 - Percentage of times the goal was reached through time","playful-oath-296 - Percentage of times the goal was reached through time__MIN","playful-oath-296 - Percentage of times the goal was reached through time__MAX"
"60","0.2786885245901639","0.2786885245901639","0.2786885245901639"
"61","0.2903225806451613","0.2903225806451613","0.2903225806451613"
"62","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"63","0.296875","0.296875","0.296875"
"64","0.2923076923076923","0.2923076923076923","0.2923076923076923"
"65","0.30303030303030304","0.30303030303030304","0.30303030303030304"
"66","0.29850746268656714","0.29850746268656714","0.29850746268656714"
"67","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"68","0.2898550724637681","0.2898550724637681","0.2898550724637681"
"69","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"70","0.28169014084507044","0.28169014084507044","0.28169014084507044"
"71","0.2916666666666667","0.2916666666666667","0.2916666666666667"
"72","0.3013698630136986","0.3013698630136986","0.3013698630136986"
"73","0.2972972972972973","0.2972972972972973","0.2972972972972973"
"74","0.29333333333333333","0.29333333333333333","0.29333333333333333"
"75","0.2894736842105263","0.2894736842105263","0.2894736842105263"
"76","0.2987012987012987","0.2987012987012987","0.2987012987012987"
"77","0.2948717948717949","0.2948717948717949","0.2948717948717949"
"78","0.2911392405063291","0.2911392405063291","0.2911392405063291"
"79","0.3","0.3","0.3"
"80","0.30864197530864196","0.30864197530864196","0.30864197530864196"
"81","0.3170731707317073","0.3170731707317073","0.3170731707317073"
"82","0.3253012048192771","0.3253012048192771","0.3253012048192771"
"83","0.32142857142857145","0.32142857142857145","0.32142857142857145"
"84","0.3176470588235294","0.3176470588235294","0.3176470588235294"
"85","0.313953488372093","0.313953488372093","0.313953488372093"
"86","0.3218390804597701","0.3218390804597701","0.3218390804597701"
"87","0.3181818181818182","0.3181818181818182","0.3181818181818182"
"88","0.3146067415730337","0.3146067415730337","0.3146067415730337"
"89","0.3111111111111111","0.3111111111111111","0.3111111111111111"
"90","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"91","0.31521739130434784","0.31521739130434784","0.31521739130434784"
"92","0.3118279569892473","0.3118279569892473","0.3118279569892473"
"93","0.30851063829787234","0.30851063829787234","0.30851063829787234"
"94","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"95","0.3229166666666667","0.3229166666666667","0.3229166666666667"
"96","0.32989690721649484","0.32989690721649484","0.32989690721649484"
"97","0.32653061224489793","0.32653061224489793","0.32653061224489793"
"98","0.32323232323232326","0.32323232323232326","0.32323232323232326"
"99","0.32","0.32","0.32"
"100","0.32673267326732675","0.32673267326732675","0.32673267326732675"
"101","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"102","0.3300970873786408","0.3300970873786408","0.3300970873786408"
"103","0.33653846153846156","0.33653846153846156","0.33653846153846156"
"104","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"105","0.330188679245283","0.330188679245283","0.330188679245283"
"106","0.32710280373831774","0.32710280373831774","0.32710280373831774"
"107","0.32407407407407407","0.32407407407407407","0.32407407407407407"
"108","0.3211009174311927","0.3211009174311927","0.3211009174311927"
"109","0.32727272727272727","0.32727272727272727","0.32727272727272727"
"110","0.32432432432432434","0.32432432432432434","0.32432432432432434"
"111","0.32142857142857145","0.32142857142857145","0.32142857142857145"
"112","0.3274336283185841","0.3274336283185841","0.3274336283185841"
"113","0.32456140350877194","0.32456140350877194","0.32456140350877194"
"114","0.3217391304347826","0.3217391304347826","0.3217391304347826"
"115","0.31896551724137934","0.31896551724137934","0.31896551724137934"
"116","0.3247863247863248","0.3247863247863248","0.3247863247863248"
"117","0.3220338983050847","0.3220338983050847","0.3220338983050847"
"118","0.3277310924369748","0.3277310924369748","0.3277310924369748"
"119","0.325","0.325","0.325"
"120","0.32231404958677684","0.32231404958677684","0.32231404958677684"
