"Step","vivid-donkey-291 - Percentage of times the goal was reached through time","vivid-donkey-291 - Percentage of times the goal was reached through time__MIN","vivid-donkey-291 - Percentage of times the goal was reached through time__MAX"
"0","0","0","0"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0","0","0"
"8","0","0","0"
"9","0.1","0.1","0.1"
"10","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"11","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"12","0.15384615384615385","0.15384615384615385","0.15384615384615385"
"13","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"14","0.13333333333333333","0.13333333333333333","0.13333333333333333"
"15","0.125","0.125","0.125"
"16","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"17","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"18","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"19","0.2","0.2","0.2"
"20","0.19047619047619047","0.19047619047619047","0.19047619047619047"
"21","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"22","0.17391304347826086","0.17391304347826086","0.17391304347826086"
"23","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"24","0.2","0.2","0.2"
"25","0.19230769230769232","0.19230769230769232","0.19230769230769232"
"26","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"27","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"28","0.20689655172413793","0.20689655172413793","0.20689655172413793"
"29","0.2","0.2","0.2"
"30","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"31","0.21875","0.21875","0.21875"
"32","0.21212121212121213","0.21212121212121213","0.21212121212121213"
"33","0.20588235294117646","0.20588235294117646","0.20588235294117646"
"34","0.2","0.2","0.2"
"35","0.19444444444444445","0.19444444444444445","0.19444444444444445"
"36","0.1891891891891892","0.1891891891891892","0.1891891891891892"
"37","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"38","0.20512820512820512","0.20512820512820512","0.20512820512820512"
"39","0.225","0.225","0.225"
"40","0.21951219512195122","0.21951219512195122","0.21951219512195122"
"41","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"42","0.23255813953488372","0.23255813953488372","0.23255813953488372"
"43","0.22727272727272727","0.22727272727272727","0.22727272727272727"
"44","0.24444444444444444","0.24444444444444444","0.24444444444444444"
"45","0.2391304347826087","0.2391304347826087","0.2391304347826087"
"46","0.2553191489361702","0.2553191489361702","0.2553191489361702"
"47","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"48","0.2653061224489796","0.2653061224489796","0.2653061224489796"
"49","0.28","0.28","0.28"
"50","0.27450980392156865","0.27450980392156865","0.27450980392156865"
"51","0.2692307692307692","0.2692307692307692","0.2692307692307692"
"52","0.2830188679245283","0.2830188679245283","0.2830188679245283"
"53","0.2777777777777778","0.2777777777777778","0.2777777777777778"
"54","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"55","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"56","0.2807017543859649","0.2807017543859649","0.2807017543859649"
"57","0.29310344827586204","0.29310344827586204","0.29310344827586204"
"58","0.3050847457627119","0.3050847457627119","0.3050847457627119"
"59","0.3","0.3","0.3"
"60","0.3114754098360656","0.3114754098360656","0.3114754098360656"
"61","0.3225806451612903","0.3225806451612903","0.3225806451612903"
"62","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"63","0.328125","0.328125","0.328125"
"64","0.3384615384615385","0.3384615384615385","0.3384615384615385"
"65","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"66","0.34328358208955223","0.34328358208955223","0.34328358208955223"
"67","0.35294117647058826","0.35294117647058826","0.35294117647058826"
"68","0.34782608695652173","0.34782608695652173","0.34782608695652173"
